torso, piernas, calzado
camiseta,pantalón corto,zapatillas
sudadera,pantalón largo,botas
camisa,pantalón corto,sandalias
chaqueta,vaqueros,botines
camiseta,leggins,zapatillas
polo,pantalón corto,chanclas
jersey,pantalón largo,botas
camisa,pantalón corto,zapatillas
chaqueta,pantalón corto,sandalias
camiseta,vaqueros,botines
sudadera,leggins,zapatillas
camisa,pantalón corto,chanclas
chaqueta,pantalón largo,botas
polo,pantalón corto,zapatillas
jersey,vaqueros,sandalias
camiseta,leggins,botines
sudadera,pantalón corto,zapatillas
camisa,pantalón largo,chanclas
chaqueta,pantalón corto,botas
camiseta,pantalón corto,sandalias
polo,vaqueros,zapatillas
jersey,leggins,botines
camisa,pantalón largo,zapatillas
chaqueta,pantalón corto,chanclas
camiseta,vaqueros,botas
sudadera,leggins,sandalias
polo,pantalón corto,zapatillas
jersey,pantalón largo,chanclas
camiseta,pantalón corto,botines
chaqueta,vaqueros,zapatillas